Date,Search Trends
2018-07-14,1049
2018-07-15,1041
2018-07-16,1230
2018-07-17,1257
2018-07-18,1246
2018-07-19,1193
2018-07-20,1065
2018-07-21,1041
2018-07-22,1077
2018-07-23,1206
2018-07-24,1229
2018-07-25,1260
2018-07-26,1246
2018-07-27,1197
2018-07-28,1145
2018-07-29,1150
2018-07-30,1273
2018-07-31,1227
2018-08-01,1268
2018-08-02,1246
2018-08-03,1181
2018-08-04,1079
2018-08-05,1076
2018-08-06,1240
2018-08-07,1223
2018-08-08,1255
2018-08-09,1230
2018-08-10,1160
2018-08-11,1099
2018-08-12,1078
2018-08-13,1273
2018-08-14,1269
2018-08-15,1298
2018-08-16,1275
2018-08-17,1190
2018-08-18,1101
2018-08-19,1040
2018-08-20,1108
2018-08-21,1231
2018-08-22,1272
2018-08-23,1249
2018-08-24,1191
2018-08-25,1068
2018-08-26,1082
2018-08-27,1273
2018-08-28,1248
2018-08-29,1240
2018-08-30,1231
2018-08-31,1212
2018-09-01,1074
2018-09-02,1085
2018-09-03,1287
2018-09-04,1242
2018-09-05,1238
2018-09-06,1178
2018-09-07,1096
2018-09-08,1036
2018-09-09,1034
2018-09-10,1259
2018-09-11,1247
2018-09-12,1243
2018-09-13,1230
2018-09-14,1127
2018-09-15,1018
2018-09-16,1035
2018-09-17,1215
2018-09-18,1174
2018-09-19,996
2018-09-20,970
2018-09-21,1042
2018-09-22,1002
2018-09-23,991
2018-09-24,1179
2018-09-25,1190
2018-09-26,1202
2018-09-27,1239
2018-09-28,1210
2018-09-29,1108
2018-09-30,1102
2018-10-01,1245
2018-10-02,1205
2018-10-03,1202
2018-10-04,1148
2018-10-05,1118
2018-10-06,971
2018-10-07,961
2018-10-08,1230
2018-10-09,1229
2018-10-10,1275
2018-10-11,1262
2018-10-12,1198
2018-10-13,1057
2018-10-14,1047
2018-10-15,1166
2018-10-16,1207
2018-10-17,1177
2018-10-18,1191
2018-10-19,1065
2018-10-20,1010
2018-10-21,1010
2018-10-22,1220
2018-10-23,1192
2018-10-24,1245
2018-10-25,1221
2018-10-26,1189
2018-10-27,1018
2018-10-28,985
2018-10-29,1298
2018-10-30,1254
2018-10-31,1288
2018-11-01,1270
2018-11-02,1252
2018-11-03,1096
2018-11-04,1153
2018-11-05,1330
2018-11-06,1213
2018-11-07,1190
2018-11-08,949
2018-11-09,893
2018-11-10,825
2018-11-11,797
2018-11-12,969
2018-11-13,1038
2018-11-14,1205
2018-11-15,1181
2018-11-16,1258
2018-11-17,1155
2018-11-18,1092
2018-11-19,1246
2018-11-20,1307
2018-11-21,1292
2018-11-22,1330
2018-11-23,1357
2018-11-24,1058
2018-11-25,1059
2018-11-26,1285
2018-11-27,1218
2018-11-28,1287
2018-11-29,1239
2018-11-30,1147
2018-12-01,1036
2018-12-02,1026
2018-12-03,1299
2018-12-04,1314
2018-12-05,1297
2018-12-06,1261
2018-12-07,1187
2018-12-08,1059
2018-12-09,1066
2018-12-10,1333
2018-12-11,1352
2018-12-12,1305
2018-12-13,1293
2018-12-14,1206
2018-12-15,1038
2018-12-16,1019
2018-12-17,1314
2018-12-18,1332
2018-12-19,1399
2018-12-20,1336
2018-12-21,1207
2018-12-22,1028
2018-12-23,967
2018-12-24,36
2018-12-25,842
2018-12-26,1449
2018-12-27,1395
2018-12-28,1299
2018-12-29,1131
2018-12-30,1047
2018-12-31,44
2019-01-01,743
2019-01-02,1333
2019-01-03,1337
2019-01-04,1327
2019-01-05,1152
2019-01-06,1141
2019-01-07,1341
2019-01-08,1362
2019-01-09,1336
2019-01-10,1314
2019-01-11,1243
2019-01-12,1097
2019-01-13,1095
2019-01-14,1292
2019-01-15,1345
2019-01-16,1319
2019-01-17,1312
2019-01-18,1273
2019-01-19,1102
2019-01-20,1084
2019-01-21,1338
2019-01-22,1306
2019-01-23,1287
2019-01-24,1336
2019-01-25,1338
2019-01-26,1208
2019-01-27,1167
2019-01-28,1359
2019-01-29,1358
2019-01-30,1325
2019-01-31,1331
2019-02-01,1255
2019-02-02,1115
2019-02-03,216
2019-02-04,1247
2019-02-05,1345
2019-02-06,1317
2019-02-07,1305
2019-02-08,1255
2019-02-09,1144
2019-02-10,1093
2019-02-11,1342
2019-02-12,1327
2019-02-13,1324
2019-02-14,1246
2019-02-15,1268
2019-02-16,1148
2019-02-17,1120
2019-02-18,1339
2019-02-19,1302
2019-02-20,1366
2019-02-21,1330
2019-02-22,1257
2019-02-23,1122
2019-02-24,1102
2019-02-25,1305
2019-02-26,1314
2019-02-27,1324
2019-02-28,1286
2019-03-01,1220
2019-03-02,1103
2019-03-03,1085
2019-03-04,1180
2019-03-05,1197
2019-03-06,1335
2019-03-07,1269
2019-03-08,1099
2019-03-09,1056
2019-03-10,1004
2019-03-11,1245
2019-03-12,1306
2019-03-13,1234
2019-03-14,1263
2019-03-15,1257
2019-03-16,1152
2019-03-17,1136
2019-03-18,1315
2019-03-19,1339
2019-03-20,1306
2019-03-21,1315
2019-03-22,1237
2019-03-23,1154
2019-03-24,1148
2019-03-25,1271
2019-03-26,1169
2019-03-27,1323
2019-03-28,1286
2019-03-29,1167
2019-03-30,1048
2019-03-31,1022
2019-04-01,1198
2019-04-02,1156
2019-04-03,1282
2019-04-04,1278
2019-04-05,1230
2019-04-06,1124
2019-04-07,1108
2019-04-08,1271
2019-04-09,1276
2019-04-10,1256
2019-04-11,1305
2019-04-12,1229
2019-04-13,1135
2019-04-14,1112
2019-04-15,1266
2019-04-16,1244
2019-04-17,1082
2019-04-18,1009
2019-04-19,991
2019-04-20,1040
2019-04-21,1046
2019-04-22,1261
2019-04-23,1250
2019-04-24,1291
2019-04-25,1285
2019-04-26,1248
2019-04-27,1119
2019-04-28,1083
2019-04-29,1222
2019-04-30,1096
2019-05-01,1074
2019-05-02,1229
2019-05-03,1193
2019-05-04,1122
2019-05-05,1147
2019-05-06,1294
2019-05-07,1184
2019-05-08,921
2019-05-09,949
2019-05-10,900
2019-05-11,823
2019-05-12,830
2019-05-13,1286
2019-05-14,1182
2019-05-15,1274
2019-05-16,1135
2019-05-17,1085
2019-05-18,990
2019-05-19,990
2019-05-20,1115
2019-05-21,1154
2019-05-22,1242
2019-05-23,1199
2019-05-24,1155
2019-05-25,1050
2019-05-26,1059
2019-05-27,1345
2019-05-28,1264
2019-05-29,1303
2019-05-30,1274
2019-05-31,1234
2019-06-01,1112
2019-06-02,1113
2019-06-03,1284
2019-06-04,1297
2019-06-05,1253
2019-06-06,1229
2019-06-07,1165
2019-06-08,1056
2019-06-09,1101
2019-06-10,1301
2019-06-11,1302
2019-06-12,1327
2019-06-13,1291
2019-06-14,1240
2019-06-15,1112
2019-06-16,961
2019-06-17,1232
2019-06-18,1290
2019-06-19,1239
2019-06-20,1236
2019-06-21,1257
2019-06-22,1132
2019-06-23,1144
2019-06-24,1274
2019-06-25,1304
2019-06-26,1270
2019-06-27,1223
2019-06-28,1150
2019-06-29,1124
2019-06-30,1121
2019-07-01,1272
2019-07-02,1192
2019-07-03,1141
2019-07-04,1237
2019-07-05,1158
2019-07-06,1054
2019-07-07,1027
2019-07-08,1224
2019-07-09,1210
2019-07-10,1308
2019-07-11,1286
2019-07-12,1246
2019-07-13,1083
2019-07-14,1056
2019-07-15,1237
2019-07-16,1226
2019-07-17,1314
2019-07-18,1275
2019-07-19,1185
2019-07-20,1020
2019-07-21,1086
2019-07-22,1259
2019-07-23,1271
2019-07-24,1262
2019-07-25,1264
2019-07-26,1194
2019-07-27,1077
2019-07-28,1073
2019-07-29,1288
2019-07-30,1293
2019-07-31,1265
2019-08-01,1234
2019-08-02,1189
2019-08-03,1059
2019-08-04,1051
2019-08-05,1277
2019-08-06,1258
2019-08-07,1225
2019-08-08,1235
2019-08-09,1221
2019-08-10,1080
2019-08-11,1060
2019-08-12,1306
2019-08-13,1316
2019-08-14,1312
2019-08-15,1308
2019-08-16,1230
2019-08-17,1093
2019-08-18,1051
2019-08-19,1213
2019-08-20,1267
2019-08-21,1298
2019-08-22,1288
2019-08-23,1241
2019-08-24,1105
2019-08-25,1107
2019-08-26,1305
2019-08-27,1287
2019-08-28,1292
2019-08-29,1271
2019-08-30,1251
2019-08-31,1080
2019-09-01,1062
2019-09-02,1323
2019-09-03,1292
2019-09-04,1202
2019-09-05,1198
2019-09-06,1152
2019-09-07,1038
2019-09-08,1017
2019-09-09,1271
2019-09-10,1248
2019-09-11,1301
2019-09-12,1261
2019-09-13,1199
2019-09-14,1064
2019-09-15,1027
2019-09-16,1229
2019-09-17,1243
2019-09-18,1185
2019-09-19,1188
2019-09-20,1131
2019-09-21,1000
2019-09-22,994
2019-09-23,1227
2019-09-24,1262
2019-09-25,1269
2019-09-26,1248
2019-09-27,1206
2019-09-28,1055
2019-09-29,1068
2019-09-30,1284
2019-10-01,1242
2019-10-02,1239
2019-10-03,1234
2019-10-04,1214
2019-10-05,1056
2019-10-06,1048
2019-10-07,1295
2019-10-08,1302
2019-10-09,1296
2019-10-10,1244
2019-10-11,1222
2019-10-12,1086
2019-10-13,1072
2019-10-14,1210
2019-10-15,1300
2019-10-16,1309
2019-10-17,1301
2019-10-18,1192
2019-10-19,1022
2019-10-20,1023
2019-10-21,1284
2019-10-22,1244
2019-10-23,1281
2019-10-24,1274
2019-10-25,1236
2019-10-26,1113
2019-10-27,1022
2019-10-28,1311
2019-10-29,1293
2019-10-30,1108
2019-10-31,1068
2019-11-01,1038
2019-11-02,920
2019-11-03,978
2019-11-04,1305
2019-11-05,1259
2019-11-06,1305
2019-11-07,1222
2019-11-08,1185
2019-11-09,1040
2019-11-10,1020
2019-11-11,1248
2019-11-12,1274
2019-11-13,1336
2019-11-14,1315
2019-11-15,1303
2019-11-16,1177
2019-11-17,1139
2019-11-18,1303
2019-11-19,1358
2019-11-20,1284
2019-11-21,1251
2019-11-22,1190
2019-11-23,1035
2019-11-24,1074
2019-11-25,1342
2019-11-26,1331
2019-11-27,1300
2019-11-28,1316
2019-11-29,1373
2019-11-30,1142
2019-12-01,1104
2019-12-02,1355
2019-12-03,1371
2019-12-04,1349
2019-12-05,1304
2019-12-06,1251
2019-12-07,1041
2019-12-08,1033
2019-12-09,1317
2019-12-10,1295
2019-12-11,1284
2019-12-12,1296
2019-12-13,1257
2019-12-14,1126
2019-12-15,1167
2019-12-16,1400
2019-12-17,1404
2019-12-18,1334
2019-12-19,1377
2019-12-20,1337
2019-12-21,1123
2019-12-22,1108
2019-12-23,1224
2019-12-24,809
2019-12-25,991
2019-12-26,1412
2019-12-27,1311
2019-12-28,1163
2019-12-29,1102
2019-12-30,1222
2019-12-31,697
2020-01-01,861
2020-01-02,1402
2020-01-03,1349
2020-01-04,1216
2020-01-05,1127
2020-01-06,1358
2020-01-07,1362
2020-01-08,1368
2020-01-09,1388
2020-01-10,1318
2020-01-11,1158
2020-01-12,1133
2020-01-13,1393
2020-01-14,1393
2020-01-15,1366
2020-01-16,1318
2020-01-17,1252
2020-01-18,1093
2020-01-19,1045
2020-01-20,1359
2020-01-21,1354
2020-01-22,1338
2020-01-23,1326
2020-01-24,1271
2020-01-25,1127
2020-01-26,1061
2020-01-27,1354
2020-01-28,1361
2020-01-29,1394
2020-01-30,1363
2020-01-31,1257
2020-02-01,1135
2020-02-02,1065
2020-02-03,1331
2020-02-04,1328
2020-02-05,1296
2020-02-06,1253
2020-02-07,1254
2020-02-08,1122
2020-02-09,1083
2020-02-10,1338
2020-02-11,1343
2020-02-12,1316
2020-02-13,1265
2020-02-14,1177
2020-02-15,1077
2020-02-16,1074
2020-02-17,1330
2020-02-18,1334
2020-02-19,1371
2020-02-20,1351
2020-02-21,1280
2020-02-22,1107
2020-02-23,1080
2020-02-24,1243
2020-02-25,921
2020-03-10,256
2020-03-11,1077
2020-03-12,1074
2020-03-13,1330
2020-03-14,1334
2020-03-15,1371
2020-03-16,1351
2020-03-17,1280
2020-03-18,1107
2020-03-19,1080
2020-03-20,1077
2020-03-21,1047
2020-03-22,1047
2020-03-23,1085
2020-03-24,1111
2020-03-25,1140
2020-03-26,1165
2020-03-27,1183
2020-03-28,1197
2020-03-29,1216
2020-03-30,1313
2020-03-31,1281
2020-04-01,1160
2020-04-02,1151
2020-04-03,1119
2020-04-04,1121
2020-04-05,1131
2020-04-06,1259
2020-04-07,1228
2020-04-08,1114
2020-04-09,1077
2020-04-10,1094
2020-04-11,1117
2020-04-12,1133
2020-04-13,1292
2020-04-14,1247
2020-04-15,1170
2020-04-16,1216
2020-04-17,1171
2020-04-18,1137
2020-04-19,1143
2020-04-20,1267
2020-04-21,1226
2020-04-22,1194
2020-04-23,1171
2020-04-24,1189
2020-04-25,1164
2020-04-26,1167
2020-04-27,1268
2020-04-28,1240
2020-04-29,1137
2020-04-30,1111
2020-05-01,1107
2020-05-02,1189
2020-05-03,1173
2020-05-04,1340
2020-05-05,1527
2020-05-06,1270
2020-05-07,1249
2020-05-08,1217
2020-05-09,1161
2020-05-10,1084
2020-05-11,1256
2020-05-12,1262
2020-05-13,1270
2020-05-14,1260
2020-05-15,1238
2020-05-16,1214
2020-05-17,1201
2020-05-18,1296
2020-05-19,1273
2020-05-20,1241
2020-05-21,1253
2020-05-22,1250
2020-05-23,1183
2020-05-24,1203
2020-05-25,1213
2020-05-26,1254
2020-05-27,1237
2020-05-28,1226
2020-05-29,1200
2020-05-30,1188
2020-05-31,1176
2020-06-01,1226
2020-06-02,1199
2020-06-03,1203
2020-06-04,1184
2020-06-05,1157
2020-06-06,1169
2020-06-07,1163
2020-06-08,1229
2020-06-09,1196
2020-06-10,1235
2020-06-11,1253
2020-06-12,1219
2020-06-13,1178
2020-06-14,1146
2020-06-15,1196
2020-06-16,1233
2020-06-17,1248
2020-06-18,1290
2020-06-19,1318
2020-06-20,1113
2020-06-21,1042
2020-06-22,1226
2020-06-23,1243
2020-06-24,1204
2020-06-25,1198
2020-06-26,1145
2020-06-27,1090
2020-06-28,1125
2020-06-29,1157
2020-06-30,1170
2020-07-01,1193
2020-07-02,1224
2020-07-03,1296
2020-07-04,1171
2020-07-05,1161
2020-07-06,1222
2020-07-07,1200
2020-07-08,1172
2020-07-09,1134
2020-07-10,1150
2020-07-11,1126
2020-07-12,1125
2020-07-13,1216
2020-07-14,1185
2020-07-15,1160
2020-07-16,1196
2020-07-17,1173
2020-07-18,1129
2020-07-19,1076
2020-07-20,1149
2020-07-21,1188
2020-07-22,1034
2020-07-23,1032
2020-07-24,986
2020-07-25,949
2020-07-26,988
2020-07-27,1228
2020-07-28,1159
2020-07-29,1237
2020-07-30,1177
2020-07-31,1170
2020-08-01,1090
2020-08-02,1083
2020-08-03,1176
2020-08-04,1115
2020-08-05,1167
2020-08-06,1187
2020-08-07,1138
2020-08-08,1123
2020-08-09,1137
2020-08-10,1205
2020-08-11,1192
2020-08-12,1252
2020-08-13,1250
2020-08-14,1175
2020-08-15,1144
2020-08-16,1135
2020-08-17,1170
2020-08-18,1242
2020-08-19,1257
2020-08-20,1242
2020-08-21,1188
2020-08-22,1161
2020-08-23,1117
2020-08-24,1221
2020-08-25,983
2020-08-26,0
2020-08-27,290
2020-08-28,983
2020-08-29,973
2020-08-30,980
2020-08-31,1152
2020-09-01,1104
2020-09-02,1217
2020-09-03,1161
2020-09-04,1128
2020-09-05,1093
2020-09-06,1105
2020-09-07,1005
